State,County,PCT_REDUCED_LUNCH10,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS10,FOODINSEC_10_12,PCT_OBESE_CHILD11,PCT_LACCESS_POP10,PCT_LACCESS_CHILD10,PCT_LACCESS_SENIORS10,PCT_LOCLFARM07,FMRKT13,PCT_FMRKT_SNAP13,PCT_FMRKT_WIC13,FMRKT_FRVEG13,PCT_FRMKT_FRVEG13,PCT_FRMKT_ANMLPROD13,FOODHUB12,FARM_TO_SCHOOL,SODATAX_STORES11,GROC12,SNAPS12,WICS12,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,POVRATE10,CHILDPOVRATE10,SNAP_PART_RATE10
VA,Pulaski,5.933831377,11.2,27.4,9.2,18.2,14.98866329,2.808572381,2.127184476,4.1,3,0,0,2,66.66666667,66.66666667,0,0,1.5,7,39.16666667,8,91.683872,5.001147,1.238816,0.513306,17.868204,19.502753,15.8,23.4,75
VA,Rappahannock,6.25,11.3,26.4,9.2,15.5,79.01065601,15.17342462,15.2981035,14.9,0,,,,,,1,1,1.5,1,1,0,90.23464,4.313034,3.092364,0.528957,19.096704,19.869795,9.8,15.5,75
VA,Richmond,5.930807249,11.8,31.2,9.2,17.8,6.957874275,1.074947627,1.999936249,8.1,1,0,0,0,0,0,0,0,1.5,2,9.75,1,62.189324,30.181543,5.51113,0.421439,18.175924,17.192565,18.5,23.8,75
VA,Roanoke,5.302647717,10.5,26.6,9.2,14.5,21.30965417,4.729018707,3.625137101,5.5,2,50,0,2,100,100,0,0,1.5,12,51.75,13,88.644237,4.957998,2.11202,2.657617,17.225253,21.772971,7,9.4,75
VA,Rockbridge,8.437343984,12.9,27.9,9.2,,16.32708113,3.301632902,3.197799354,7.5,1,0,0,1,100,100,1,1,1.5,1,17.41666667,3,93.759806,2.622495,1.326938,0.461738,20.710988,19.115076,12.2,17.1,75
VA,Rockingham,7.833032724,9.7,29.8,9.2,,19.45830411,4.733613714,3.320447722,7.1,1,100,100,0,0,0,0,0,1.5,11,34.41666667,5,91.254554,1.593417,5.341091,0.594911,15.677333,23.681107,10.8,15.3,75
VA,Russell,8.213096559,12.5,32,9.2,17.7,7.329386085,1.647684015,1.273136206,4.4,1,0,0,0,0,0,0,0,1.5,5,30.83333333,3,97.387272,0.785549,0.951656,0.18341,16.403087,20.434647,18.1,25.2,75
VA,Scott,9.294181034,10.6,29.7,9.2,14.7,11.99679042,2.354537485,2.270415579,2.7,2,50,0,1,50,50,0,0,1.5,7,34.5,5,97.445744,0.582474,1.009622,0.151012,19.717824,19.312249,18.9,25,75
VA,Shenandoah,6.450572488,11.9,30,9.2,14.9,6.938266506,1.729915362,1.065992454,7.4,2,50,0,2,100,100,0,0,1.5,11,32.58333333,4,90.219799,1.664563,6.136737,0.500083,18.498321,21.977472,11.7,17.2,75
VA,Smyth,7.80638517,10.3,31.4,9.2,16,8.129592827,1.721191413,1.6747732,4.5,2,0,0,2,100,100,0,0,1.5,7,32.33333333,7,95.137854,1.956036,1.636239,0.254595,18.15077,20.855067,18.7,28,75
VA,Southampton,7.100796675,14,31.4,9.2,18.7,22.78888375,3.307697587,3.375182376,4.4,0,,,,,,0,0,1.5,3,15.33333333,1,59.97846,37.119009,1.093161,0.247711,15.228864,21.098546,16.4,20,75
VA,Spotsylvania,5.261818953,10,29.8,9.2,20.2,27.03721466,7.826012134,2.165792734,6.4,3,67,0,2,66.66666667,66.66666667,0,0,1.5,27,78.83333333,11,71.960097,14.949713,7.580251,2.261493,9.897301,27.81359,7.9,10.5,75
VA,Stafford,4.044374242,7.8,31.7,9.2,15.4,28.29230775,8.635406313,1.623327545,6,0,,,,,,0,0,1.5,12,61.25,12,67.798792,16.484829,9.20821,2.748893,7.338653,28.843604,5.2,6.8,75
VA,Surry,9.109518936,13.5,33,9.2,8.7,23.27570154,4.674718747,3.933587599,5.8,1,0,0,0,0,0,0,0,1.5,3,6.083333333,0,50.765089,45.905356,1.218475,0.325871,15.882686,21.068291,12.3,19.7,75
VA,Sussex,10.84033613,13.2,37.3,9.2,14.5,28.91732399,5.589798537,5.113728168,6.6,0,,,,,,0,0,1.5,4,18.66666667,3,38.578638,57.880367,2.217258,0.380574,14.494912,16.778357,22.5,24,75
VA,Tazewell,8.243998188,12.2,30.8,9.2,19.1,18.27167872,3.95295718,3.398120909,3,3,33,0,2,66.66666667,66.66666667,0,0,1.5,8,57.16666667,8,94.706952,2.950441,0.65664,0.634456,17.207951,20.353609,18.5,23.5,75
VA,Warren,5.037453184,11.5,26,9.2,13,5.101350162,1.224238383,0.72987926,6.5,1,0,0,0,0,0,0,0,1.5,6,30.5,3,88.742515,4.548237,3.507651,0.93147,12.721224,24.165003,10.3,14.4,75
VA,Washington,7.556335177,12.4,29.4,9.2,16.3,12.50583665,2.592855897,2.273677707,3.6,2,100,50,1,50,100,1,0,1.5,13,48.33333333,7,96.213281,1.250091,1.319338,0.368103,17.745462,19.596909,14.1,19.3,75
VA,Westmoreland,7.585609016,12.8,29,9.2,15.7,17.61422661,3.779086221,3.384439778,5.8,0,,,,,,0,1,1.5,5,19.41666667,3,63.521256,27.815973,5.740804,0.52137,20.883465,20.012605,14.7,26.2,75
